sampling_date,plant_id,Peletizadora,sampling_hash,product_name,product_code,Turno,batch,Durabilidad,fines,Presión,Carga,Temp Acondicionamiento,Temp Enfriamiento,Hum Acondicionamiento,Hum Enfriamiento,Temp Ambiente,Hum Ambiente,observations,Matriz Dado,time,mixing_humidity,product_humidity,product_temperature,sampled_by,type_1,retention_time,type_2,efficiency,quantity,company_name,source_file,Delta Temp,Eficiencia Acondicionador,delta_temp_group,"product_code,Producto",Estructura Dieta,Amp
2024-01-02,18,2,75a15d54494d88f19c1f46ac0649b0e3,ceba nutritec,703-169,1,9864.0,98.6,1.4,20.0,62.0,78.0,30.7,14.25,12.45,30.5,58.0,amp 118-110,mt 03,11:20:00,,,,,,,,,,Cervalle,SEGUIMIENTO PROCESO PELETIZADO.xlsm,0.2,5.5,0-1,"703-169,ceba nutritec",Finalizadores,118.0
2024-01-02,18,1,2b9ef98b2299f125ac9bf419a340aecb,ceba 3 nutritec,703-181,2,9865.0,99.6,0.4,19.0,40.0,70.0,31.9,14.85,12.67,36.4,35.0,amp 106,mt 02,18:30:00,,,,,,,,,,Cervalle,SEGUIMIENTO PROCESO PELETIZADO.xlsm,-4.5,4.7,<0,"703-181,ceba 3 nutritec",Finalizadores,106.0
2024-01-02,18,1,00ff6e9f8627b421528da790b315ab4e,iniciacion 1,550-427,2,9872.0,92.7,7.3,18.0,37.0,50.0,33.2,13.32,11.37,37.0,36.0,amp 12.80,mt 02,16:00:00,,,,,,,,,,Cervalle,SEGUIMIENTO PROCESO PELETIZADO.xlsm,-3.8,3.8,<0,"550-427,iniciacion 1",Inicios,12.8
2024-01-02,18,1,0d47fbb07c6b353f7ba16bf953047a9c,iniciacion 1,550-427,1,9872.0,97.7,2.3,18.0,39.4,74.0,32.8,12.89,11.51,34.4,47.0,amp 109,mt 02,12:00:00,,,,,,,,,,Cervalle,SEGUIMIENTO PROCESO PELETIZADO.xlsm,-1.6,5.7,<0,"550-427,iniciacion 1",Inicios,109.0
2024-01-02,18,1,f5b42c52806d64dc7e395f8346dbf769,levante,601-562,3,9873.0,99.4,0.6,20.0,40.0,80.0,28.1,15.14,12.58,31.6,44.0,amp 96,mt 02,01:05:00,,,,,,,,,,Cervalle,SEGUIMIENTO PROCESO PELETIZADO.xlsm,-3.5,5.3,<0,"601-562,levante",Levante,96.0
2024-01-02,18,2,7b454a695bca2c6cc530d119990ed4f2,levante,601-562,3,9873.0,94.5,5.5,18.0,76.0,80.0,28.9,14.31,11.96,28.0,55.0,amp 109,mt 03,01:00:00,,,,,,,,,,Cervalle,SEGUIMIENTO PROCESO PELETIZADO.xlsm,0.9,5.6,0-1,"601-562,levante",Levante,109.0
2024-01-02,18,2,26b6de5c723f9fa501c7906b9aa777eb,ceba 1.1 nutritec,703-170,3,9874.0,96.8,3.2,18.0,78.0,80.0,32.1,15.05,12.36,27.0,35.0,amp 118,mt 03,03:30:00,,,,,,,,,,Cervalle,SEGUIMIENTO PROCESO PELETIZADO.xlsm,5.1,5.3,>5,"703-170,ceba 1.1 nutritec",Finalizadores,118.0
2024-01-02,18,2,8af3fda944b6cd1b8f7a419c3ebc8ff2,ceba 1,703-177,2,9874.0,94.2,5.8,18.0,75.0,85.0,33.2,15.61,12.04,31.8,55.0,amp 106,mt 03,17:25:00,,,,,,,,,,Cervalle,SEGUIMIENTO PROCESO PELETIZADO.xlsm,1.4,5.4,1-2,"703-177,ceba 1",Finalizadores,106.0
2024-01-02,18,1,1df1ba6fd35e8abd945392f9782f56a4,ceba 1.1 nutritec,703-170,3,9875.0,99.5,0.5,19.0,40.0,78.0,32.7,15.59,12.85,31.1,47.0,amp 98,mt 02,03:40:00,,,,,,,,,,Cervalle,SEGUIMIENTO PROCESO PELETIZADO.xlsm,1.6,5.0,1-2,"703-170,ceba 1.1 nutritec",Finalizadores,98.0
2024-01-03,18,2,a48d13ec6b11b5ba6d17e25f48b0812c,ceba 2,703-167,1,9876.0,99.1,0.9,18.0,40.0,80.0,30.9,13.25,12.58,29.9,51.0,amp 108,mt 02,08:00:00,,,,,,,,,,Cervalle,SEGUIMIENTO PROCESO PELETIZADO.xlsm,1.0,6.0,1-2,"703-167,ceba 2",Finalizadores,108.0
